Height 1,Reach 1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss,Draw
172.7,68.0,27.0,0.0,0.0333,2.9,6.55,2.1667,5.4833,9.35,3.75,0.5865,0.3167,0.8833,0.15,0.1,0.6,0.6833,0.5,0.0667,177.8,70.0,30.0,0.0,0.0667,2.8254,7.2747,2.3804,5.0056,9.8331,4.6496,0.509,0.1557,0.356,0.1112,0.2002,0.2225,0.3115,0.267,0.2002,0.0,1.0,0.0
185.4,73.0,34.0,0.0163,0.0,1.6984,4.3767,2.5313,2.9722,5.6995,3.6255,0.5215,0.0163,0.049,0.098,0.0,0.7512,0.5389,0.0653,0.294,188.0,74.0,29.0,0.026,0.026,2.0815,6.0885,1.7953,3.4605,7.7537,2.4718,0.4463,0.2082,0.7025,0.052,0.0,0.4423,0.1301,0.4163,0.2862,0.0,1.0,0.0
188.0,74.0,29.0,0.026,0.026,2.0815,6.0885,1.7953,3.4605,7.7537,2.4718,0.4463,0.2082,0.7025,0.052,0.0,0.4423,0.1301,0.4163,0.2862,185.4,73.0,34.0,0.0163,0.0,1.6984,4.3767,2.5313,2.9722,5.6995,3.6255,0.5215,0.0163,0.049,0.098,0.0,0.7512,0.5389,0.0653,0.294,1.0,0.0,0.0
188.0,75.0,30.0,0.0446,0.0669,2.5195,6.2653,1.9621,5.0167,8.7848,2.3857,0.5711,0.0446,0.2453,0.0892,0.0,0.2007,0.3567,0.2899,0.3122,182.9,74.0,31.0,0.0,0.0,2.4567,4.4787,2.0787,5.4803,7.8614,3.7795,0.6971,0.2646,0.4913,0.0567,0.0756,0.7559,0.6803,0.4157,0.378,0.0,1.0,0.0
182.9,74.0,31.0,0.0,0.0,2.4567,4.4787,2.0787,5.4803,7.8614,3.7795,0.6971,0.2646,0.4913,0.0567,0.0756,0.7559,0.6803,0.4157,0.378,188.0,75.0,30.0,0.0446,0.0669,2.5195,6.2653,1.9621,5.0167,8.7848,2.3857,0.5711,0.0446,0.2453,0.0892,0.0,0.2007,0.3567,0.2899,0.3122,1.0,0.0,0.0
175.3,70.0,28.0,0.0412,0.0,3.3173,8.6951,2.9258,4.6978,10.4258,4.4918,0.4506,0.0618,0.103,0.2679,0.0206,0.2679,0.9066,0.3503,0.2473,182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,0.0,1.0,0.0
182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,175.3,70.0,28.0,0.0412,0.0,3.3173,8.6951,2.9258,4.6978,10.4258,4.4918,0.4506,0.0618,0.103,0.2679,0.0206,0.2679,0.9066,0.3503,0.2473,1.0,0.0,0.0
193.0,84.0,24.0,0.0369,0.0,4.4595,6.9287,0.7002,6.4865,9.1032,0.9582,0.7126,0.2948,0.3317,0.0,0.1106,0.4054,0.0737,2.5799,0.1106,182.9,75.0,32.0,0.0,0.0154,2.3302,5.8179,1.6049,4.0895,7.9167,2.4846,0.5166,0.2315,0.5093,0.0463,0.0,0.6636,0.6173,0.8179,0.0617,1.0,0.0,0.0
182.9,75.0,32.0,0.0,0.0154,2.3302,5.8179,1.6049,4.0895,7.9167,2.4846,0.5166,0.2315,0.5093,0.0463,0.0,0.6636,0.6173,0.8179,0.0617,193.0,84.0,24.0,0.0369,0.0,4.4595,6.9287,0.7002,6.4865,9.1032,0.9582,0.7126,0.2948,0.3317,0.0,0.1106,0.4054,0.0737,2.5799,0.1106,0.0,1.0,0.0
172.7,70.0,32.0,0.0297,0.0,4.1902,7.8455,3.9525,10.6092,15.2155,4.9629,0.6973,0.1783,0.3863,0.0594,0.0297,0.7429,1.5156,0.4755,0.2675,175.3,71.0,26.0,0.0368,0.0,2.0221,6.4706,1.6728,3.3824,7.8309,3.8603,0.4319,0.0,0.0919,0.1471,0.1103,0.6618,0.1287,0.0735,0.4596,1.0,0.0,0.0
175.3,71.0,26.0,0.0368,0.0,2.0221,6.4706,1.6728,3.3824,7.8309,3.8603,0.4319,0.0,0.0919,0.1471,0.1103,0.6618,0.1287,0.0735,0.4596,172.7,70.0,32.0,0.0297,0.0,4.1902,7.8455,3.9525,10.6092,15.2155,4.9629,0.6973,0.1783,0.3863,0.0594,0.0297,0.7429,1.5156,0.4755,0.2675,0.0,1.0,0.0
182.9,76.0,27.0,0.0214,0.0214,4.9982,15.4646,2.4564,7.1342,17.921,3.2253,0.3981,0.0427,0.1922,0.0854,0.0427,0.6622,0.3418,0.4486,0.1282,172.7,71.0,28.0,0.029,0.0,1.7101,6.058,1.3623,2.9855,7.4203,2.8696,0.4023,0.058,0.2609,0.2319,0.2319,0.2899,0.3188,0.1449,0.1449,1.0,0.0,0.0
172.7,71.0,28.0,0.029,0.0,1.7101,6.058,1.3623,2.9855,7.4203,2.8696,0.4023,0.058,0.2609,0.2319,0.2319,0.2899,0.3188,0.1449,0.1449,182.9,76.0,27.0,0.0214,0.0214,4.9982,15.4646,2.4564,7.1342,17.921,3.2253,0.3981,0.0427,0.1922,0.0854,0.0427,0.6622,0.3418,0.4486,0.1282,0.0,1.0,0.0
177.8,73.0,34.0,0.0,0.0,1.5671,5.1514,2.9341,3.1509,6.7519,3.7677,0.4667,0.1167,0.2334,0.0834,0.0167,0.3501,0.3001,0.5001,0.05,175.3,69.0,28.0,0.0805,0.0,3.0067,5.0738,3.5973,4.5906,6.6577,5.2081,0.6895,0.3758,0.5906,0.1074,0.0268,0.5638,1.4497,0.698,0.0268,0.0,1.0,0.0
175.3,69.0,28.0,0.0805,0.0,3.0067,5.0738,3.5973,4.5906,6.6577,5.2081,0.6895,0.3758,0.5906,0.1074,0.0268,0.5638,1.4497,0.698,0.0268,177.8,73.0,34.0,0.0,0.0,1.5671,5.1514,2.9341,3.1509,6.7519,3.7677,0.4667,0.1167,0.2334,0.0834,0.0167,0.3501,0.3001,0.5001,0.05,1.0,0.0,0.0
185.4,73.0,29.0,0.0685,0.0,5.5511,10.3484,3.084,6.5106,11.4106,3.4266,0.5706,0.1028,0.1713,0.0343,0.0685,0.2056,0.1371,0.8909,0.0343,175.3,71.0,26.0,0.0521,0.0174,3.4231,7.4718,3.3362,4.5873,8.6881,4.4309,0.528,0.1564,0.3301,0.0348,0.0869,0.5039,0.3475,0.2433,0.1216,1.0,0.0,0.0
175.3,71.0,26.0,0.0521,0.0174,3.4231,7.4718,3.3362,4.5873,8.6881,4.4309,0.528,0.1564,0.3301,0.0348,0.0869,0.5039,0.3475,0.2433,0.1216,185.4,73.0,29.0,0.0685,0.0,5.5511,10.3484,3.084,6.5106,11.4106,3.4266,0.5706,0.1028,0.1713,0.0343,0.0685,0.2056,0.1371,0.8909,0.0343,0.0,1.0,0.0
193.0,77.0,28.0,0.1111,0.0,7.0,14.9444,2.0,7.75,15.9722,2.0556,0.4852,0.0833,0.1111,0.0556,0.0,0.6111,0.1389,0.9444,0.0,190.5,79.0,33.0,0.0274,0.0274,2.1938,4.4424,3.0165,3.7569,6.0878,5.3473,0.6171,0.192,0.3291,0.0,0.0274,1.1243,1.7276,0.2742,0.4936,1.0,0.0,0.0
190.5,79.0,33.0,0.0274,0.0274,2.1938,4.4424,3.0165,3.7569,6.0878,5.3473,0.6171,0.192,0.3291,0.0,0.0274,1.1243,1.7276,0.2742,0.4936,193.0,77.0,28.0,0.1111,0.0,7.0,14.9444,2.0,7.75,15.9722,2.0556,0.4852,0.0833,0.1111,0.0556,0.0,0.6111,0.1389,0.9444,0.0,0.0,1.0,0.0
182.9,74.0,30.0,0.0,0.0341,1.2944,5.4329,3.9512,2.1118,6.3696,7.5106,0.3316,0.017,0.0511,0.2555,0.0511,0.0852,0.2044,0.0511,1.09,177.8,70.0,33.0,0.0,0.0902,6.7669,17.7744,4.8421,7.0677,18.1053,5.7444,0.3904,0.0301,0.1805,0.0902,0.0,1.4436,0.391,0.0602,0.2707,1.0,0.0,0.0
177.8,70.0,33.0,0.0,0.0902,6.7669,17.7744,4.8421,7.0677,18.1053,5.7444,0.3904,0.0301,0.1805,0.0902,0.0,1.4436,0.391,0.0602,0.2707,182.9,74.0,30.0,0.0,0.0341,1.2944,5.4329,3.9512,2.1118,6.3696,7.5106,0.3316,0.017,0.0511,0.2555,0.0511,0.0852,0.2044,0.0511,1.09,0.0,1.0,0.0
175.3,71.0,27.0,0.0565,0.0,2.4565,5.6753,1.2988,4.8565,8.7812,2.9929,0.5531,0.3106,0.4235,0.0,0.0,0.7059,0.3388,0.7906,0.0847,182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,0.0,1.0,0.0
182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,175.3,71.0,27.0,0.0565,0.0,2.4565,5.6753,1.2988,4.8565,8.7812,2.9929,0.5531,0.3106,0.4235,0.0,0.0,0.7059,0.3388,0.7906,0.0847,1.0,0.0,0.0
175.3,70.0,33.0,0.0541,0.0135,2.2869,7.8078,3.2476,3.3153,8.8769,3.6671,0.3735,0.1083,0.3518,0.0406,0.0135,0.2977,0.1624,0.2842,0.0947,170.2,70.0,30.0,0.0,0.0,1.4233,5.5374,1.023,4.4033,9.0289,2.0237,0.4877,0.2669,0.556,0.0222,0.0667,0.2224,0.1112,0.5115,0.089,1.0,0.0,0.0
170.2,70.0,30.0,0.0,0.0,1.4233,5.5374,1.023,4.4033,9.0289,2.0237,0.4877,0.2669,0.556,0.0222,0.0667,0.2224,0.1112,0.5115,0.089,175.3,70.0,33.0,0.0541,0.0135,2.2869,7.8078,3.2476,3.3153,8.8769,3.6671,0.3735,0.1083,0.3518,0.0406,0.0135,0.2977,0.1624,0.2842,0.0947,0.0,1.0,0.0
175.3,70.0,28.0,0.0409,0.0205,5.8117,16.2483,4.809,6.2824,16.7804,5.3206,0.3744,0.0205,0.0614,0.1637,0.0205,0.2865,0.2865,0.1842,0.1637,170.2,68.0,36.0,0.0,0.0,3.0464,7.474,3.614,5.6575,10.4447,6.3765,0.5417,0.0378,0.1325,0.1325,0.0378,0.7758,0.492,0.1892,0.2081,1.0,0.0,0.0
170.2,68.0,36.0,0.0,0.0,3.0464,7.474,3.614,5.6575,10.4447,6.3765,0.5417,0.0378,0.1325,0.1325,0.0378,0.7758,0.492,0.1892,0.2081,175.3,70.0,28.0,0.0409,0.0205,5.8117,16.2483,4.809,6.2824,16.7804,5.3206,0.3744,0.0205,0.0614,0.1637,0.0205,0.2865,0.2865,0.1842,0.1637,0.0,1.0,0.0
188.0,77.0,38.0,0.0682,0.0,2.37,4.075,2.0631,3.1373,4.9105,6.2063,0.6389,0.0171,0.0171,0.0512,0.0512,0.1535,0.2046,0.6309,1.2276,185.4,73.0,36.0,0.0,0.0,3.1604,5.7888,1.161,12.4966,16.4472,3.6603,0.7598,0.2741,0.4192,0.0322,0.0322,0.4515,0.258,2.1607,0.3709,1.0,0.0,0.0
185.4,73.0,36.0,0.0,0.0,3.1604,5.7888,1.161,12.4966,16.4472,3.6603,0.7598,0.2741,0.4192,0.0322,0.0322,0.4515,0.258,2.1607,0.3709,188.0,77.0,38.0,0.0682,0.0,2.37,4.075,2.0631,3.1373,4.9105,6.2063,0.6389,0.0171,0.0171,0.0512,0.0512,0.1535,0.2046,0.6309,1.2276,0.0,1.0,0.0
188.0,76.0,31.0,0.0208,0.0208,2.1473,4.5031,1.7929,2.9395,5.5038,3.5233,0.5341,0.2502,0.417,0.0208,0.0,0.1459,0.542,0.5629,0.1668,185.4,72.0,35.0,0.0,0.0143,1.6,3.6714,1.6143,3.6143,6.1714,2.3714,0.5856,0.2,0.5714,0.0,0.0286,0.2,0.1,0.7429,0.1714,0.0,1.0,0.0
185.4,72.0,35.0,0.0,0.0143,1.6,3.6714,1.6143,3.6143,6.1714,2.3714,0.5856,0.2,0.5714,0.0,0.0286,0.2,0.1,0.7429,0.1714,188.0,76.0,31.0,0.0208,0.0208,2.1473,4.5031,1.7929,2.9395,5.5038,3.5233,0.5341,0.2502,0.417,0.0208,0.0,0.1459,0.542,0.5629,0.1668,1.0,0.0,0.0
182.9,71.0,35.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,188.0,78.0,29.0,0.0,0.0,3.0527,7.9424,2.2963,5.43,10.7789,3.0527,0.5038,0.2972,0.4322,0.0,0.054,0.2972,0.5403,0.6484,0.054,0.0,1.0,0.0
188.0,78.0,29.0,0.0,0.0,3.0527,7.9424,2.2963,5.43,10.7789,3.0527,0.5038,0.2972,0.4322,0.0,0.054,0.2972,0.5403,0.6484,0.054,182.9,71.0,35.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,1.0,0.0,0.0
188.0,75.0,31.0,0.0481,0.0962,2.6442,4.7115,1.3942,8.3173,11.2981,3.9904,0.7362,0.2885,0.6731,0.1442,0.0481,0.4808,0.4808,1.25,0.4327,185.4,75.0,31.0,0.0,0.0194,4.3869,10.5597,3.824,7.1627,13.7625,4.4452,0.5205,0.0194,0.1747,0.0582,0.0,1.2035,0.3688,0.4853,0.2912,1.0,0.0,0.0
185.4,75.0,31.0,0.0,0.0194,4.3869,10.5597,3.824,7.1627,13.7625,4.4452,0.5205,0.0194,0.1747,0.0582,0.0,1.2035,0.3688,0.4853,0.2912,188.0,75.0,31.0,0.0481,0.0962,2.6442,4.7115,1.3942,8.3173,11.2981,3.9904,0.7362,0.2885,0.6731,0.1442,0.0481,0.4808,0.4808,1.25,0.4327,0.0,1.0,0.0
172.7,70.0,28.0,0.0268,0.0,2.3036,6.1875,1.3125,4.6875,9.0536,2.4375,0.5178,0.2143,0.4018,0.0536,0.0804,0.2679,0.1875,1.1786,0.1071,185.4,75.0,33.0,0.0,0.0,5.0833,10.8167,2.2167,5.6333,11.4,2.8167,0.4942,0.05,0.1,0.1333,0.0167,0.9167,0.5333,0.0667,0.0167,1.0,0.0,0.0
185.4,75.0,33.0,0.0,0.0,5.0833,10.8167,2.2167,5.6333,11.4,2.8167,0.4942,0.05,0.1,0.1333,0.0167,0.9167,0.5333,0.0667,0.0167,172.7,70.0,28.0,0.0268,0.0,2.3036,6.1875,1.3125,4.6875,9.0536,2.4375,0.5178,0.2143,0.4018,0.0536,0.0804,0.2679,0.1875,1.1786,0.1071,0.0,1.0,0.0
185.4,74.0,35.0,0.0293,0.0587,2.0528,4.3109,1.8182,2.7273,4.9853,3.6657,0.5471,0.088,0.176,0.0587,0.0293,0.2933,0.6158,0.088,0.2639,188.0,74.0,30.0,0.026,0.026,2.0815,6.0885,1.7953,3.4605,7.7537,2.4718,0.4463,0.2082,0.7025,0.052,0.0,0.4423,0.1301,0.4163,0.2862,1.0,0.0,0.0
188.0,74.0,30.0,0.026,0.026,2.0815,6.0885,1.7953,3.4605,7.7537,2.4718,0.4463,0.2082,0.7025,0.052,0.0,0.4423,0.1301,0.4163,0.2862,185.4,74.0,35.0,0.0293,0.0587,2.0528,4.3109,1.8182,2.7273,4.9853,3.6657,0.5471,0.088,0.176,0.0587,0.0293,0.2933,0.6158,0.088,0.2639,0.0,1.0,0.0
