Date,Fighter 1,Fighter 2,Result,Split Dec?
07/9/2019,Don Madge,Fares Ziam,1,0
14/9/2019,Donald Cerrone,Justin Gaethje,2,0
14/9/2019,Glover Teixeira,Nikita Krylov,1,1
14/9/2019,Todd Duffee,Jeff Hughes,1,1
14/9/2019,Michel Pereira,Tristan Connelly,2,0
14/9/2019,Uriah Hall,Antonio Carlos Junior,1,1
14/9/2019,Misha Cirkunov,Jimmy Crute,1,0
14/9/2019,Marcin Tybura,Augusto Sakai,2,0
14/9/2019,Cole Smith,Miles Johns,2,1
14/9/2019,Brad Katona,Hunter Azure,2,0
14/9/2019,Chas Skelly,Jordan Griffin,1,0
14/9/2019,Louis Smolka,Ryan MacDonald,1,0
14/9/2019,Kyle Prepolec,Austin Hubbard,2,0
21/9/2019,Yair Rodriguez,Jeremy Stephens,2,1
21/9/2019,Carla Esparza,Alexa Grasso,1,0
21/9/2019,Brandon Moreno,Askar Askarov,3,1
21/9/2019,Irene Aldana,Vanessa Melo,1,0
21/9/2019,Martin Bravo,Steven Peterson,2,0
21/9/2019,Jose Quinonez,Carlos Huachin,1,0
21/9/2019,Marco Polo Reyes,Kyle Nelson,2,0
21/9/2019,Ariane Carnelossi,Angela Hill,2,0
21/9/2019,Sergio Pettis,Tyson Nam,1,0
21/9/2019,Vinicius Moreira,Paul Craig,2,0
21/9/2019,Sijara Eubanks,Bethe Correia,2,0
21/9/2019,Claudio Puelles,Marcos Mariano,1,0
28/9/2019,Jack Hermansson,Jared Cannonier,2,0
28/9/2019,Mark Madsen,Danilo Belluardo,1,0
28/9/2019,Gunnar Nelson,Gilbert Burns,2,0
28/9/2019,Ion Cutelaba,Khalil Rountree Jr.,1,0
28/9/2019,Michal Oleksiejczuk,Ovince Saint Preux,2,0
28/9/2019,Nicolas Dalby,Alex Oliveira,1,0
28/9/2019,Alen Amedovski,John Phillips,2,0
28/9/2019,Alessio Di Chirico,Makhmud Muradov,2,0
28/9/2019,Siyar Bahadurzada,Ismail Naurdiev,2,0
28/9/2019,Brandon Davis,Giga Chikadze,2,1
28/9/2019,Macy Chiasson,Lina Lansberg,2,0
28/9/2019,Marc Diakiese,Lando Vannata,1,0
28/9/2019,Jack Shore,Nohelin Hernandez,1,0
05/10/2019,Robert Whittaker,Israel Adesanya,2,0
05/10/2019,Al Iaquinta,Dan Hooker,2,0
05/10/2019,Tai Tuivasa,Serghei Spivac,2,0
05/10/2019,Luke Jumeau,Dhiego Lima,2,1
05/10/2019,Justin Tafa,Yorgan De Castro,2,0
05/10/2019,Jake Matthews,Rostem Akman,1,0
05/10/2019,Callan Potter,Maki Pitolo,1,0
05/10/2019,Brad Riddell,Jamie Mullarkey,1,0
05/10/2019,Megan Anderson,Zarah Fairn,1,0
05/10/2019,Nadia Kassem,Ji Yeon Kim,2,0
05/10/2019,Khalid Taha,Bruno Silva,2,1
12/10/2019,Joanna Jedrzejczyk,Michelle Waterson-Gomez,1,0
12/10/2019,Cub Swanson,Kron Gracie,1,0
12/10/2019,Niko Price,James Vick,1,0
12/10/2019,Mackenzie Dern,Amanda Ribas,2,0
12/10/2019,Matt Frevola,Luis Pena,1,1
12/10/2019,Eryk Anders,Gerald Meerschaert,1,1
12/10/2019,Ryan Spann,Devin Clark,1,0
