,Height1,Reach1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss
599,167.6,70.0,33.0,0.0,0.0,3.4656,8.0156,2.7853,4.1035,8.7597,3.0617,0.4684,0.2126,0.404,0.0,0.0638,0.2977,0.1276,0.5103,0.1063,177.8,70.0,28.0,0.0197,0.0,1.5592,2.3882,0.7895,4.2039,5.8224,2.8816,0.722,0.2763,0.375,0.0197,0.0592,0.1579,0.2368,0.8684,0.0789,0.0,1.0
600,193.0,80.0,29.0,0.0199,0.0397,3.0795,5.9603,1.3907,6.1788,9.5166,2.4238,0.6493,0.4967,0.6954,0.0,0.0,0.4967,0.2781,1.649,0.1391,190.5,76.0,38.0,0.0343,0.0,2.3308,5.6898,2.108,4.0788,7.6435,2.4336,0.5336,0.12,0.4456,0.0514,0.0171,0.4799,0.3599,0.3428,0.5141,1.0,0.0
601,190.5,76.0,38.0,0.0343,0.0,2.3308,5.6898,2.108,4.0788,7.6435,2.4336,0.5336,0.12,0.4456,0.0514,0.0171,0.4799,0.3599,0.3428,0.5141,193.0,80.0,29.0,0.0199,0.0397,3.0795,5.9603,1.3907,6.1788,9.5166,2.4238,0.6493,0.4967,0.6954,0.0,0.0,0.4967,0.2781,1.649,0.1391,0.0,1.0
602,175.3,73.0,32.0,0.093,0.0,3.5331,7.655,1.9835,3.595,7.7169,1.9835,0.4659,0.062,0.062,0.0,0.0,0.093,0.062,0.4959,0.0,175.3,74.0,35.0,0.0238,0.0475,5.962,15.5344,3.4204,7.9097,17.7435,3.7055,0.4458,0.0475,0.2613,0.095,0.0475,0.4751,0.2613,1.2114,0.1188,0.0,1.0
603,175.3,74.0,35.0,0.0238,0.0475,5.962,15.5344,3.4204,7.9097,17.7435,3.7055,0.4458,0.0475,0.2613,0.095,0.0475,0.4751,0.2613,1.2114,0.1188,175.3,73.0,32.0,0.093,0.0,3.5331,7.655,1.9835,3.595,7.7169,1.9835,0.4659,0.062,0.062,0.0,0.0,0.093,0.062,0.4959,0.0,1.0,0.0
604,182.9,73.0,32.0,0.0,0.0,2.9295,8.7748,3.258,4.4627,10.5955,4.3121,0.4212,0.1643,0.3285,0.0,0.0137,0.4244,0.794,0.3833,0.0684,182.9,75.0,36.0,0.0348,0.0,2.9094,8.4146,2.7178,3.9895,9.547,3.1707,0.4179,0.0,0.122,0.0871,0.0697,0.4704,0.1568,0.1045,0.1394,1.0,0.0
605,182.9,75.0,36.0,0.0348,0.0,2.9094,8.4146,2.7178,3.9895,9.547,3.1707,0.4179,0.0,0.122,0.0871,0.0697,0.4704,0.1568,0.1045,0.1394,182.9,73.0,32.0,0.0,0.0,2.9295,8.7748,3.258,4.4627,10.5955,4.3121,0.4212,0.1643,0.3285,0.0,0.0137,0.4244,0.794,0.3833,0.0684,0.0,1.0
606,182.9,71.0,32.0,0.0322,0.0483,5.7035,12.986,3.5607,5.9774,13.3888,4.334,0.4465,0.0483,0.1611,0.0483,0.0,0.1611,0.2256,0.3061,0.3867,180.3,73.0,33.0,0.047,0.047,4.7671,11.6008,3.3816,5.1898,12.0705,4.0157,0.43,0.047,0.3288,0.0235,0.0235,1.2211,0.7984,0.4932,0.1644,1.0,0.0
607,180.3,73.0,33.0,0.047,0.047,4.7671,11.6008,3.3816,5.1898,12.0705,4.0157,0.43,0.047,0.3288,0.0235,0.0235,1.2211,0.7984,0.4932,0.1644,182.9,71.0,32.0,0.0322,0.0483,5.7035,12.986,3.5607,5.9774,13.3888,4.334,0.4465,0.0483,0.1611,0.0483,0.0,0.1611,0.2256,0.3061,0.3867,0.0,1.0
608,180.3,72.0,40.0,0.0247,0.0247,4.2062,7.5216,4.5278,7.4722,11.1093,4.7753,0.6726,0.1732,0.2969,0.0495,0.0742,0.9649,0.5938,0.9155,0.3711,193.0,80.0,36.0,0.0511,0.0511,4.4444,7.484,2.0945,7.8927,11.4176,2.5543,0.6913,0.2043,0.4087,0.0,0.0,0.5109,0.1533,1.3027,0.1022,0.0,1.0
609,193.0,80.0,36.0,0.0511,0.0511,4.4444,7.484,2.0945,7.8927,11.4176,2.5543,0.6913,0.2043,0.4087,0.0,0.0,0.5109,0.1533,1.3027,0.1022,180.3,72.0,40.0,0.0247,0.0247,4.2062,7.5216,4.5278,7.4722,11.1093,4.7753,0.6726,0.1732,0.2969,0.0495,0.0742,0.9649,0.5938,0.9155,0.3711,1.0,0.0
610,177.8,72.0,32.0,0.0378,0.0,3.7795,6.6331,5.178,4.6677,7.578,5.726,0.616,0.0378,0.0567,0.1512,0.1134,0.2268,0.4913,0.5102,0.548,182.9,76.0,34.0,0.0,0.0449,6.6135,14.2743,6.1347,8.7232,16.5935,7.5112,0.5257,0.0299,0.1347,0.0599,0.0299,1.6608,0.4788,0.0898,0.6284,0.0,1.0
611,182.9,76.0,34.0,0.0,0.0449,6.6135,14.2743,6.1347,8.7232,16.5935,7.5112,0.5257,0.0299,0.1347,0.0599,0.0299,1.6608,0.4788,0.0898,0.6284,177.8,72.0,32.0,0.0378,0.0,3.7795,6.6331,5.178,4.6677,7.578,5.726,0.616,0.0378,0.0567,0.1512,0.1134,0.2268,0.4913,0.5102,0.548,1.0,0.0
612,177.8,71.0,29.0,0.0,0.0,2.5103,7.089,1.8209,4.0306,8.9452,3.2351,0.4506,0.2121,0.495,0.1237,0.0177,0.3359,0.3005,0.6011,0.2121,175.3,70.0,31.0,0.0,0.0,3.4533,6.9067,3.3333,5.2667,9.04,4.72,0.5826,0.1067,0.3467,0.0667,0.0,0.96,0.6,0.1733,0.1733,0.0,1.0
613,175.3,70.0,31.0,0.0,0.0,3.4533,6.9067,3.3333,5.2667,9.04,4.72,0.5826,0.1067,0.3467,0.0667,0.0,0.96,0.6,0.1733,0.1733,177.8,71.0,29.0,0.0,0.0,2.5103,7.089,1.8209,4.0306,8.9452,3.2351,0.4506,0.2121,0.495,0.1237,0.0177,0.3359,0.3005,0.6011,0.2121,1.0,0.0
614,175.3,73.0,31.0,0.019,0.019,3.4123,7.3175,2.1611,6.5403,10.6161,2.7867,0.6161,0.0948,0.1327,0.0948,0.1517,0.2844,0.2654,1.2512,0.3602,177.8,72.0,29.0,0.0,0.0,4.0523,10.6893,4.0189,4.7693,11.5064,5.0361,0.4145,0.0167,0.05,0.3335,0.0167,0.3002,0.4169,0.0,0.4836,1.0,0.0
615,177.8,72.0,29.0,0.0,0.0,4.0523,10.6893,4.0189,4.7693,11.5064,5.0361,0.4145,0.0167,0.05,0.3335,0.0167,0.3002,0.4169,0.0,0.4836,175.3,73.0,31.0,0.019,0.019,3.4123,7.3175,2.1611,6.5403,10.6161,2.7867,0.6161,0.0948,0.1327,0.0948,0.1517,0.2844,0.2654,1.2512,0.3602,0.0,1.0
616,165.1,66.0,31.0,0.0135,0.0,3.7265,7.0762,2.6233,6.9417,10.4529,4.5336,0.6641,0.148,0.2825,0.0404,0.0538,0.3767,0.6054,1.3722,0.0269,167.6,66.0,35.0,0.0,0.0133,2.4133,4.1067,2.2133,7.1733,9.1067,5.0,0.7877,0.2133,0.3467,0.04,0.0267,0.4267,0.7067,0.5867,0.4267,1.0,0.0
